gun,saat,cinsiyet,bolge,uyelik_tipi,uye_sayisi,memnuniyet
Pazartesi,14:00,Kadin,Yuzme Havuzu,VIP,12,7.6
Pazartesi,14:00,Kadin,Grup Stüdyosu,VIP,21,8.3
Pazartesi,14:00,Kadin,SPA & Sauna,Standart,11,6.6
Pazartesi,15:00,Erkek,Agirlik Istasyonu,Standart,27,7.2
Pazartesi,15:00,Erkek,Kardiyo,Ogrenci,5,8.0
Pazartesi,15:00,Erkek,Yuzme Havuzu,Standart,8,8.0
Pazartesi,15:00,Erkek,Grup Stüdyosu,Premium,1,9.9
Pazartesi,15:00,Erkek,SPA & Sauna,Standart,12,7.2
Pazartesi,15:00,Kadin,Agirlik Istasyonu,VIP,5,7.4
Pazartesi,15:00,Kadin,Kardiyo,Standart,23,5.9
Pazartesi,15:00,Kadin,Yuzme Havuzu,Standart,13,7.7
Pazartesi,15:00,Kadin,Grup Stüdyosu,VIP,20,7.2
Pazartesi,15:00,Kadin,SPA & Sauna,Ogrenci,9,9.4
Pazartesi,16:00,Erkek,Agirlik Istasyonu,VIP,16,7.5
Pazartesi,16:00,Erkek,Kardiyo,Standart,5,9.1
Pazartesi,16:00,Erkek,Yuzme Havuzu,Standart,9,8.5
Pazartesi,16:00,Erkek,Grup Stüdyosu,Standart,6,8.0
Pazartesi,16:00,Erkek,SPA & Sauna,Premium,10,7.6
Pazartesi,16:00,Kadin,Agirlik Istasyonu,Standart,8,7.4
Pazartesi,16:00,Kadin,Kardiyo,Ogrenci,16,8.5
Pazartesi,16:00,Kadin,Yuzme Havuzu,Ogrenci,12,7.9
Pazartesi,16:00,Kadin,Grup Stüdyosu,Ogrenci,17,7.4
Pazartesi,16:00,Kadin,SPA & Sauna,VIP,15,9.1
Pazartesi,17:00,Erkek,Agirlik Istasyonu,Standart,29,7.6
Pazartesi,17:00,Erkek,Kardiyo,Ogrenci,22,7.1
Pazartesi,17:00,Erkek,Yuzme Havuzu,Standart,7,6.7
Pazartesi,17:00,Erkek,Grup Stüdyosu,Ogrenci,16,8.1
Pazartesi,17:00,Erkek,SPA & Sauna,Standart,17,6.4
Pazartesi,17:00,Kadin,Agirlik Istasyonu,VIP,14,6.6
Pazartesi,17:00,Kadin,Kardiyo,Standart,16,9.2
Pazartesi,17:00,Kadin,Yuzme Havuzu,Standart,8,8.8
Pazartesi,17:00,Kadin,Grup Stüdyosu,Ogrenci,28,7.8
Pazartesi,17:00,Kadin,SPA & Sauna,VIP,19,7.9
Pazartesi,18:00,Erkek,Agirlik Istasyonu,VIP,29,6.4
Pazartesi,18:00,Erkek,Kardiyo,Premium,14,7.3
Pazartesi,18:00,Erkek,Yuzme Havuzu,Ogrenci,23,7.6
Pazartesi,18:00,Erkek,Grup Stüdyosu,Premium,12,9.0
Pazartesi,18:00,Erkek,SPA & Sauna,Premium,10,7.1
Pazartesi,18:00,Kadin,Agirlik Istasyonu,VIP,19,8.2
Pazartesi,18:00,Kadin,Kardiyo,Ogrenci,20,6.6
Pazartesi,18:00,Kadin,Yuzme Havuzu,VIP,21,8.7
Pazartesi,18:00,Kadin,Grup Stüdyosu,VIP,19,8.2
Pazartesi,18:00,Kadin,SPA & Sauna,Premium,14,6.6
Pazartesi,19:00,Erkek,Agirlik Istasyonu,VIP,21,6.4
Pazartesi,19:00,Erkek,Kardiyo,Premium,12,7.8
Pazartesi,19:00,Erkek,Yuzme Havuzu,Standart,15,7.9
Pazartesi,19:00,Erkek,Grup Stüdyosu,Ogrenci,18,8.9
Pazartesi,19:00,Erkek,SPA & Sauna,Premium,12,8.1
Pazartesi,19:00,Kadin,Agirlik Istasyonu,VIP,12,9.0
Pazartesi,19:00,Kadin,Kardiyo,Premium,15,7.1
Pazartesi,19:00,Kadin,Yuzme Havuzu,Standart,12,6.8
Pazartesi,19:00,Kadin,Grup Stüdyosu,Ogrenci,22,8.6
Pazartesi,19:00,Kadin,SPA & Sauna,Standart,9,7.6
Pazartesi,20:00,Erkek,Agirlik Istasyonu,VIP,16,7.4
Pazartesi,20:00,Erkek,Kardiyo,Standart,18,7.0
Pazartesi,20:00,Erkek,Yuzme Havuzu,VIP,23,6.1
Pazartesi,20:00,Erkek,Grup Stüdyosu,Ogrenci,7,9.3
Pazartesi,20:00,Erkek,SPA & Sauna,Premium,20,8.5
Pazartesi,20:00,Kadin,Agirlik Istasyonu,Standart,13,8.6
Pazartesi,20:00,Kadin,Kardiyo,Premium,20,8.5
Pazartesi,20:00,Kadin,Yuzme Havuzu,Ogrenci,20,8.7
Pazartesi,20:00,Kadin,Grup Stüdyosu,Standart,28,8.6
Pazartesi,20:00,Kadin,SPA & Sauna,Standart,10,6.8
Pazartesi,21:00,Erkek,Agirlik Istasyonu,Premium,9,8.7
Pazartesi,21:00,Erkek,Kardiyo,Standart,4,7.6
Pazartesi,21:00,Erkek,Yuzme Havuzu,Premium,2,7.6
Pazartesi,21:00,Erkek,Grup Stüdyosu,VIP,4,9.3
Pazartesi,21:00,Erkek,SPA & Sauna,Premium,12,7.3
Pazartesi,21:00,Kadin,Agirlik Istasyonu,Standart,3,9.7
Pazartesi,21:00,Kadin,Kardiyo,VIP,17,7.6
Pazartesi,21:00,Kadin,Yuzme Havuzu,Premium,8,7.6
Pazartesi,21:00,Kadin,Grup Stüdyosu,Ogrenci,20,7.2
Pazartesi,21:00,Kadin,SPA & Sauna,VIP,15,7.7
Pazartesi,22:00,Erkek,Agirlik Istasyonu,Ogrenci,17,8.3
Pazartesi,22:00,Erkek,Kardiyo,Ogrenci,5,9.6
Pazartesi,22:00,Erkek,Yuzme Havuzu,VIP,6,7.2
Pazartesi,22:00,Erkek,Grup Stüdyosu,Ogrenci,6,6.7
Pazartesi,22:00,Erkek,SPA & Sauna,VIP,9,7.7
Pazartesi,22:00,Kadin,Agirlik Istasyonu,Premium,1,9.3
Pazartesi,22:00,Kadin,Kardiyo,Ogrenci,15,6.4
Pazartesi,22:00,Kadin,Yuzme Havuzu,VIP,9,7.3
Pazartesi,22:00,Kadin,Grup Stüdyosu,Ogrenci,17,7.8
Pazartesi,22:00,Kadin,SPA & Sauna,Ogrenci,14,7.8
Sali,07:00,Erkek,Agirlik Istasyonu,VIP,24,7.3
Sali,07:00,Erkek,Kardiyo,Ogrenci,15,8.7
Sali,07:00,Erkek,Yuzme Havuzu,Standart,13,7.0
Sali,07:00,Erkek,Grup Stüdyosu,Standart,10,7.8
Sali,07:00,Erkek,SPA & Sauna,Premium,15,6.9
Sali,07:00,Kadin,Agirlik Istasyonu,Standart,4,7.0
Sali,07:00,Kadin,Kardiyo,Ogrenci,12,7.6
Sali,07:00,Kadin,Yuzme Havuzu,Standart,5,9.4
Sali,07:00,Kadin,Grup Stüdyosu,Premium,12,9.3
Sali,07:00,Kadin,SPA & Sauna,VIP,1,8.3
Sali,08:00,Erkek,Agirlik Istasyonu,VIP,15,7.7
Sali,08:00,Erkek,Kardiyo,Standart,2,8.5
Sali,08:00,Erkek,Yuzme Havuzu,Standart,4,8.5
Sali,08:00,Erkek,Grup Stüdyosu,Ogrenci,15,8.4
Sali,08:00,Erkek,SPA & Sauna,VIP,8,8.5
Sali,08:00,Kadin,Agirlik Istasyonu,Ogrenci,14,8.8
Sali,08:00,Kadin,Kardiyo,Premium,14,6.6
Sali,08:00,Kadin,Yuzme Havuzu,VIP,11,8.5
Sali,08:00,Kadin,Grup Stüdyosu,Ogrenci,19,8.6
Sali,08:00,Kadin,SPA & Sauna,Premium,14,7.2
Sali,09:00,Erkek,Agirlik Istasyonu,Standart,20,6.8
Sali,09:00,Erkek,Kardiyo,Standart,4,9.0
Sali,09:00,Erkek,Yuzme Havuzu,Standart,15,6.8
Sali,09:00,Erkek,Grup Stüdyosu,Standart,11,8.5
Sali,09:00,Erkek,SPA & Sauna,VIP,14,6.8
Sali,09:00,Kadin,Agirlik Istasyonu,Standart,7,8.1
Sali,09:00,Kadin,Kardiyo,Standart,9,9.1
Sali,09:00,Kadin,Yuzme Havuzu,Premium,11,7.1
Sali,09:00,Kadin,Grup Stüdyosu,Standart,16,8.0
Sali,09:00,Kadin,SPA & Sauna,Standart,13,8.2
Sali,10:00,Erkek,Agirlik Istasyonu,VIP,13,8.7
Sali,10:00,Erkek,Kardiyo,Standart,2,8.3
Sali,10:00,Erkek,Yuzme Havuzu,Standart,8,9.2
Sali,10:00,Erkek,Grup Stüdyosu,Standart,8,7.2
Sali,10:00,Erkek,SPA & Sauna,Ogrenci,7,9.6
Sali,10:00,Kadin,Agirlik Istasyonu,Standart,11,8.3
Sali,10:00,Kadin,Kardiyo,Ogrenci,18,6.9
Sali,10:00,Kadin,Yuzme Havuzu,Premium,9,8.4
Sali,10:00,Kadin,Grup Stüdyosu,Premium,25,7.3
Sali,10:00,Kadin,SPA & Sauna,Ogrenci,8,7.5
Sali,11:00,Erkek,Agirlik Istasyonu,Ogrenci,10,6.9
Sali,11:00,Erkek,Kardiyo,Ogrenci,4,7.7
Sali,11:00,Erkek,Yuzme Havuzu,Premium,9,6.8
Sali,11:00,Erkek,Grup Stüdyosu,VIP,6,9.3
Sali,11:00,Erkek,SPA & Sauna,Premium,14,8.1
Sali,11:00,Kadin,Agirlik Istasyonu,Ogrenci,13,7.9
Sali,11:00,Kadin,Kardiyo,Ogrenci,24,8.3
Sali,11:00,Kadin,Yuzme Havuzu,Ogrenci,3,8.7
Sali,11:00,Kadin,Grup Stüdyosu,Standart,11,7.9
Sali,11:00,Kadin,SPA & Sauna,Premium,13,7.1
Sali,12:00,Erkek,Agirlik Istasyonu,VIP,23,8.4
Sali,12:00,Erkek,Kardiyo,Standart,3,9.6
Sali,12:00,Erkek,Yuzme Havuzu,Premium,11,7.7
Sali,12:00,Erkek,Grup Stüdyosu,Ogrenci,1,7.0
Sali,12:00,Erkek,SPA & Sauna,Standart,14,8.7
Sali,12:00,Kadin,Agirlik Istasyonu,Premium,7,9.6
Sali,12:00,Kadin,Kardiyo,Ogrenci,27,7.1
Sali,12:00,Kadin,Yuzme Havuzu,Ogrenci,9,9.1
Sali,12:00,Kadin,Grup Stüdyosu,Premium,8,9.0
Sali,12:00,Kadin,SPA & Sauna,Premium,7,8.7
Sali,13:00,Erkek,Agirlik Istasyonu,Ogrenci,17,6.9
Sali,13:00,Erkek,Kardiyo,Ogrenci,9,7.9
Sali,13:00,Erkek,Yuzme Havuzu,Standart,10,6.9
Sali,13:00,Erkek,Grup Stüdyosu,VIP,13,7.0
Sali,13:00,Erkek,SPA & Sauna,Standart,12,7.7
Sali,13:00,Kadin,Agirlik Istasyonu,Premium,4,8.9
Sali,13:00,Kadin,Kardiyo,VIP,20,8.3
Sali,13:00,Kadin,Yuzme Havuzu,VIP,11,9.0
Sali,13:00,Kadin,Grup Stüdyosu,Standart,10,7.2
Sali,13:00,Kadin,SPA & Sauna,VIP,12,7.6
Sali,14:00,Erkek,Agirlik Istasyonu,Premium,13,8.4
Sali,14:00,Erkek,Kardiyo,Premium,13,6.5
Sali,14:00,Erkek,Yuzme Havuzu,Ogrenci,14,7.8
Sali,14:00,Erkek,Grup Stüdyosu,Ogrenci,14,9.3
Sali,14:00,Erkek,SPA & Sauna,Premium,2,8.7
Sali,14:00,Kadin,Agirlik Istasyonu,VIP,5,8.0
Sali,14:00,Kadin,Kardiyo,Premium,9,8.9
Sali,14:00,Kadin,Yuzme Havuzu,Ogrenci,5,7.6
Sali,14:00,Kadin,Grup Stüdyosu,Premium,10,8.4
Sali,14:00,Kadin,SPA & Sauna,Ogrenci,15,7.4
Sali,15:00,Erkek,Agirlik Istasyonu,VIP,9,7.3
Sali,15:00,Erkek,Kardiyo,Premium,12,8.5
Sali,15:00,Erkek,Yuzme Havuzu,VIP,15,7.9
Sali,15:00,Erkek,Grup Stüdyosu,Standart,5,7.5
Sali,15:00,Erkek,SPA & Sauna,Standart,2,9.0
Sali,15:00,Kadin,Agirlik Istasyonu,Premium,1,8.5
Sali,15:00,Kadin,Kardiyo,VIP,19,6.9
Sali,15:00,Kadin,Yuzme Havuzu,Standart,14,7.3
Sali,15:00,Kadin,Grup Stüdyosu,Premium,16,6.7
Sali,15:00,Kadin,SPA & Sauna,Premium,9,8.6
Sali,16:00,Erkek,Agirlik Istasyonu,VIP,17,6.3
Sali,16:00,Erkek,Kardiyo,VIP,3,8.7
Sali,16:00,Erkek,Yuzme Havuzu,Ogrenci,5,7.8
Sali,16:00,Erkek,Grup Stüdyosu,Premium,3,8.2
Sali,16:00,Erkek,SPA & Sauna,VIP,10,9.2
Sali,16:00,Kadin,Agirlik Istasyonu,Standart,11,6.5
Sali,16:00,Kadin,Kardiyo,VIP,14,6.9
Sali,16:00,Kadin,Yuzme Havuzu,Premium,15,9.1
Sali,16:00,Kadin,Grup Stüdyosu,Premium,13,6.9
Sali,16:00,Kadin,SPA & Sauna,Ogrenci,11,6.6
Sali,17:00,Erkek,Agirlik Istasyonu,Premium,37,5.5
Sali,17:00,Erkek,Kardiyo,VIP,12,8.9
Sali,17:00,Erkek,Yuzme Havuzu,VIP,13,6.9
Sali,17:00,Erkek,Grup Stüdyosu,VIP,12,9.0
Sali,17:00,Erkek,SPA & Sauna,Standart,22,7.6
Sali,17:00,Kadin,Agirlik Istasyonu,Ogrenci,21,6.7
Sali,17:00,Kadin,Kardiyo,Premium,24,7.7
Sali,17:00,Kadin,Yuzme Havuzu,Standart,21,8.7
Sali,17:00,Kadin,Grup Stüdyosu,Standart,18,8.7
Sali,17:00,Kadin,SPA & Sauna,VIP,11,8.7
Sali,18:00,Erkek,Agirlik Istasyonu,Premium,22,6.4
Sali,18:00,Erkek,Kardiyo,Standart,14,9.0
Sali,18:00,Erkek,Yuzme Havuzu,Premium,17,9.0
Sali,18:00,Erkek,Grup Stüdyosu,Standart,11,8.1
Sali,18:00,Erkek,SPA & Sauna,Ogrenci,19,6.6
Sali,18:00,Kadin,Agirlik Istasyonu,Standart,21,7.1
Sali,18:00,Kadin,Kardiyo,Standart,31,8.1
Sali,18:00,Kadin,Yuzme Havuzu,Standart,15,9.0
Sali,18:00,Kadin,Grup Stüdyosu,VIP,12,8.7
Sali,18:00,Kadin,SPA & Sauna,Standart,17,8.4
Sali,19:00,Erkek,Agirlik Istasyonu,Premium,29,7.4
Sali,19:00,Erkek,Kardiyo,Premium,18,7.7
Sali,19:00,Erkek,Yuzme Havuzu,Ogrenci,8,6.8
Sali,19:00,Erkek,Grup Stüdyosu,Premium,13,8.2
Sali,19:00,Erkek,SPA & Sauna,Premium,22,6.7
Sali,19:00,Kadin,Agirlik Istasyonu,Standart,16,6.5
Sali,19:00,Kadin,Kardiyo,Premium,18,7.5
Sali,19:00,Kadin,Yuzme Havuzu,Ogrenci,12,7.9
Sali,19:00,Kadin,Grup Stüdyosu,Ogrenci,19,8.9
Sali,19:00,Kadin,SPA & Sauna,VIP,18,7.3
Sali,20:00,Erkek,Agirlik Istasyonu,VIP,30,5.5
Sali,20:00,Erkek,Kardiyo,Standart,12,8.7
Sali,20:00,Erkek,Yuzme Havuzu,VIP,17,6.3
Sali,20:00,Erkek,Grup Stüdyosu,Ogrenci,16,8.8
Sali,20:00,Erkek,SPA & Sauna,Premium,10,7.7
Sali,20:00,Kadin,Agirlik Istasyonu,Premium,23,8.3
Sali,20:00,Kadin,Kardiyo,VIP,20,8.1
Sali,20:00,Kadin,Yuzme Havuzu,VIP,17,6.2
Sali,20:00,Kadin,Grup Stüdyosu,Ogrenci,20,8.9
Sali,20:00,Kadin,SPA & Sauna,Ogrenci,20,7.8
Sali,21:00,Erkek,Agirlik Istasyonu,VIP,17,7.0
Sali,21:00,Erkek,Kardiyo,Standart,8,9.1
Sali,21:00,Erkek,Yuzme Havuzu,Premium,1,9.2
Sali,21:00,Erkek,Grup Stüdyosu,Ogrenci,11,9.0
Sali,21:00,Erkek,SPA & Sauna,Standart,12,8.9
Sali,21:00,Kadin,Agirlik Istasyonu,Premium,11,9.4
Sali,21:00,Kadin,Kardiyo,Ogrenci,13,8.9
Sali,21:00,Kadin,Yuzme Havuzu,Ogrenci,10,7.0
Sali,21:00,Kadin,Grup Stüdyosu,Premium,15,8.4
Sali,21:00,Kadin,SPA & Sauna,Ogrenci,8,8.8
Sali,22:00,Erkek,Agirlik Istasyonu,VIP,11,6.9
Sali,22:00,Erkek,Kardiyo,VIP,6,8.1
Sali,22:00,Erkek,Yuzme Havuzu,Ogrenci,7,9.0
Sali,22:00,Erkek,Grup Stüdyosu,Standart,15,6.6
Sali,22:00,Erkek,SPA & Sauna,Premium,1,9.7
Sali,22:00,Kadin,Agirlik Istasyonu,Ogrenci,10,6.6
Sali,22:00,Kadin,Kardiyo,Premium,14,6.5
Sali,22:00,Kadin,Yuzme Havuzu,Ogrenci,9,7.2
Sali,22:00,Kadin,Grup Stüdyosu,VIP,25,7.6
Sali,22:00,Kadin,SPA & Sauna,Standart,10,8.2
Carsamba,07:00,Erkek,Agirlik Istasyonu,Ogrenci,7,6.9
Carsamba,07:00,Erkek,Kardiyo,Ogrenci,2,7.0
Carsamba,07:00,Erkek,Yuzme Havuzu,VIP,11,8.8
Carsamba,07:00,Erkek,Grup Stüdyosu,Standart,6,8.6
Carsamba,07:00,Erkek,SPA & Sauna,Ogrenci,11,6.5
Carsamba,07:00,Kadin,Agirlik Istasyonu,Ogrenci,14,6.5
Carsamba,07:00,Kadin,Kardiyo,Ogrenci,18,7.0
Carsamba,07:00,Kadin,Yuzme Havuzu,Standart,2,7.5
Carsamba,07:00,Kadin,Grup Stüdyosu,VIP,16,7.8
Carsamba,07:00,Kadin,SPA & Sauna,VIP,6,8.0
Carsamba,08:00,Erkek,Agirlik Istasyonu,Premium,17,7.7
Carsamba,08:00,Erkek,Kardiyo,Standart,15,9.0
Carsamba,08:00,Erkek,Yuzme Havuzu,VIP,11,8.7
Carsamba,08:00,Erkek,Grup Stüdyosu,Ogrenci,10,8.6
Carsamba,08:00,Erkek,SPA & Sauna,VIP,8,9.2
Carsamba,08:00,Kadin,Agirlik Istasyonu,Premium,2,7.2
Carsamba,08:00,Kadin,Kardiyo,Premium,18,8.2
Carsamba,08:00,Kadin,Yuzme Havuzu,VIP,2,8.3
Carsamba,08:00,Kadin,Grup Stüdyosu,VIP,14,7.4
Carsamba,08:00,Kadin,SPA & Sauna,Premium,2,7.7
Carsamba,09:00,Erkek,Agirlik Istasyonu,Ogrenci,22,8.6
Carsamba,09:00,Erkek,Kardiyo,Ogrenci,10,6.8
Carsamba,09:00,Erkek,Yuzme Havuzu,VIP,6,6.8
Carsamba,09:00,Erkek,Grup Stüdyosu,Standart,10,8.6
Carsamba,09:00,Erkek,SPA & Sauna,Premium,11,9.3
Carsamba,09:00,Kadin,Agirlik Istasyonu,Premium,3,6.9
Carsamba,09:00,Kadin,Kardiyo,VIP,28,8.3
Carsamba,09:00,Kadin,Yuzme Havuzu,Standart,5,7.6
Carsamba,09:00,Kadin,Grup Stüdyosu,VIP,8,9.5
Carsamba,09:00,Kadin,SPA & Sauna,Premium,1,8.7
Carsamba,10:00,Erkek,Agirlik Istasyonu,Standart,21,7.5
Carsamba,10:00,Erkek,Kardiyo,VIP,9,8.7
Carsamba,10:00,Erkek,Yuzme Havuzu,Premium,14,7.8
Carsamba,10:00,Erkek,Grup Stüdyosu,Ogrenci,7,9.6
Carsamba,10:00,Erkek,SPA & Sauna,Ogrenci,8,8.6
Carsamba,10:00,Kadin,Agirlik Istasyonu,Ogrenci,14,7.8
Carsamba,10:00,Kadin,Kardiyo,Premium,13,8.3
Carsamba,10:00,Kadin,Yuzme Havuzu,Standart,10,8.7
Carsamba,10:00,Kadin,Grup Stüdyosu,Ogrenci,15,8.5
Carsamba,10:00,Kadin,SPA & Sauna,VIP,10,7.1
Carsamba,11:00,Erkek,Agirlik Istasyonu,Ogrenci,15,6.5
Carsamba,11:00,Erkek,Kardiyo,Premium,7,7.4
Carsamba,11:00,Erkek,Yuzme Havuzu,Ogrenci,9,8.4
Carsamba,11:00,Erkek,Grup Stüdyosu,VIP,3,8.4
Carsamba,11:00,Erkek,SPA & Sauna,Premium,13,6.9
Carsamba,11:00,Kadin,Agirlik Istasyonu,Ogrenci,6,9.1
Carsamba,11:00,Kadin,Kardiyo,Ogrenci,22,7.7
Carsamba,11:00,Kadin,Yuzme Havuzu,VIP,15,8.8
Carsamba,11:00,Kadin,Grup Stüdyosu,Standart,12,8.1
Carsamba,11:00,Kadin,SPA & Sauna,Premium,2,9.7
Carsamba,12:00,Erkek,Agirlik Istasyonu,Standart,17,6.9
Carsamba,12:00,Erkek,Kardiyo,Ogrenci,4,7.7
Carsamba,12:00,Erkek,Yuzme Havuzu,Standart,9,8.1
Carsamba,12:00,Erkek,Grup Stüdyosu,Ogrenci,9,7.9
Carsamba,12:00,Erkek,SPA & Sauna,Ogrenci,5,9.2
Carsamba,12:00,Kadin,Agirlik Istasyonu,Ogrenci,2,8.1
Carsamba,12:00,Kadin,Kardiyo,Premium,17,7.7
Carsamba,12:00,Kadin,Yuzme Havuzu,Standart,12,7.8
Carsamba,12:00,Kadin,Grup Stüdyosu,Standart,15,7.1
Carsamba,12:00,Kadin,SPA & Sauna,VIP,3,9.5
Carsamba,13:00,Erkek,Agirlik Istasyonu,Premium,26,7.7
Carsamba,13:00,Erkek,Kardiyo,Ogrenci,8,6.9
Carsamba,13:00,Erkek,Yuzme Havuzu,VIP,14,6.8
Carsamba,13:00,Erkek,Grup Stüdyosu,Standart,1,7.4
Carsamba,13:00,Erkek,SPA & Sauna,Premium,6,9.6
Carsamba,13:00,Kadin,Agirlik Istasyonu,Premium,11,7.2
Carsamba,13:00,Kadin,Kardiyo,Ogrenci,17,6.6
Carsamba,13:00,Kadin,Yuzme Havuzu,Premium,5,7.8
Carsamba,13:00,Kadin,Grup Stüdyosu,VIP,20,7.0
Carsamba,13:00,Kadin,SPA & Sauna,Premium,14,8.4
Carsamba,14:00,Erkek,Agirlik Istasyonu,Standart,19,6.4
Carsamba,14:00,Erkek,Kardiyo,Ogrenci,7,7.0
Carsamba,14:00,Erkek,Yuzme Havuzu,Ogrenci,3,7.6
